Feature,Bin_0,Bin_1
handicraft,2.8e-44,-6.3e-43
software,-1.949e-42,1.995e-42
leather,0.010579828,-0.009667033
energy_supplier,-9.51e-43,-5.97e-43
emergency_ward_entrance,-3.94e-43,1.935e-42
lifeguard_tower,-2.707e-42,3.833e-42
photo_studio,-2.295e-42,9.64e-43
playhouse,-7.41e-43,-1.46e-43
lifeguard,0.0020527206,-0.0023206659
lighting design,-5.7199136e-06,4.9096598e-06
fairway,6.4e-43,6.9e-43
advertising_sign,0.0009294225,-0.0009671359
spring,1.296e-42,-2.584e-42
rampart,-1.251e-42,2.573e-42
cleaners,2.189e-42,-6.92e-43
chandler,1.858e-42,-1.307e-42
security,-0.0051619643,0.00626928
seeds,-1.073e-42,3.101e-42
drink,-0.017571364,0.01712445
printer,-3.45e-43,-4.46e-43
baking_supplies,-1.675e-42,3.694e-42
pagoda,-1.155e-42,1.099e-42
blood_donation,-5.615e-42,6.733e-42
ambulance_station,7.24e-43,-2.458e-42
cape,2.74e-42,-3.238e-42
shoe_repair;key_cutter,-1.256e-42,1.403e-42
unidentified,-9.96e-43,1.108e-42
linkbox,-3.526e-42,2.588e-42
public_transport,9.57e-43,4.39e-43
hump,-6.314e-42,5.228e-42
parcel_front,5.91e-43,6.66e-43
religion,-2.706e-42,3.541e-42
watchmaker,-5.23e-43,-1.449e-42
bicycle_parking,-3.9e-44,1.298e-42
lamppost,-1.038e-42,1.347e-42
sport,3.243e-42,-3.554e-42
pasture,1.867e-42,-2.011e-42
shingle,-8.95e-43,1.548e-42
spices,1.774e-42,-7.92e-43
metal_construction,-1.86e-42,1.589e-42
fertility,-4.57e-43,-2.06e-43
business_center,-1.7e-43,-8.66e-43
check_point,1.436e-42,-2.52e-43
chimney,-1.267e-42,-6.45e-43
gangway,1.6e-42,-3.66e-43
bathing_place,-4.12e-43,2.62e-43
painter,-1.942e-42,1.66e-42
mansion,6.73e-43,-1.43e-43
consultant,1.959e-42,-2.227e-42
hairdresser_supply,1.683e-42,-2.326e-42
aquaculture,4.975e-42,-4.249e-42
lottery,3.43e-42,-3.077e-42
household_linen,-4.533e-42,3.98e-42
fusebox,3.365e-42,-2.87e-42
waggon,-1.055e-42,6.43e-43
Lifestyle and accessories,5.42e-43,-2.23e-43
records,1.104e-42,-1.663e-42
hvac,-2.456e-42,1.414e-42
photographic_laboratory,2.276e-42,-2.658e-42
terminal,3.471e-42,-3.995e-42
full-height_turnstile,9.77e-43,-2.06e-43
city_gate,1.892e-42,-2.58e-43
print_shop,2.45e-43,-1.323e-42
disc_golf_course,2.45e-42,-2.6e-42
drag_lift,5.72e-43,-7.93e-43
